building_type,hour,is_business_hours,energy_kWh,pct_of_daily_max,normalized_demand,is_high_demand,global_mean_kWh,global_max_kWh,global_std_kWh,priority_tier,tier_encoded
gas_station,1.0,0,10.44605065,0.36611379642658315,-3.1345826153570506,0,21.4100635575,28.53225077,3.4977574746960394,Non_Critical,0
hospital,1.25,0,438.3770223,0.6323222673445279,-0.6086218616426003,0,492.1167140975,693.2810134,88.29733957278641,Critical,2
restaurant,1.25,0,4.754872117,0.22063085254156364,-1.4397670932566204,0,13.713785745955,21.5512566,6.222473225807428,Non_Critical,0
clinic,1.25,0,1.412426408,0.5527827423004904,-0.9589165081731293,0,1.7921347681499997,2.555120303,0.39597545562844416,Critical,2
hotel,1.25,0,18.3651833,0.5684287914353565,-1.0491152220994553,0,23.6966364281,32.3086789,5.081855611927589,Non_Critical,0
commercial_office,1.25,0,11.88818969,0.631095385537616,-0.9399513634553672,0,14.165867766165,18.83738966,2.42318616129311,Flexible,1
k12_school,1.25,0,29.63243099,0.2726114614517323,-1.222275843078982,0,63.45540451110001,108.6984048,27.672126951001655,Flexible,1
grocery,1.25,0,43.3774438,0.378157017690716,-1.0988129112238998,0,72.33214215150001,114.7074939,26.35088917952033,Non_Critical,0
fast_food,1.25,0,3.970473969,0.2575412001422589,-1.432148519006376,0,9.506531862385,15.41684968,3.8655603017188422,Non_Critical,0
post_office,1.25,0,2.181044071,0.37421589743326505,-1.4410504417052967,0,3.82523809136,5.828304158,1.1409680964143554,Non_Critical,0
college,1.25,0,152.6727841,0.29883822392585807,-1.1217824989246588,0,279.87928409045,510.8877375,113.39675827587588,Flexible,1
shopping_mall,1.25,0,132.3412741,0.29370663114576084,-1.3014741749028444,0,287.1067392425,450.5900108,118.9155089094097,Non_Critical,0
library,1.25,0,8.720145113,0.5625469524871137,-1.2607849332805692,0,11.466675971555,15.5011863,2.1784283149891257,Flexible,1
warehouse,1.25,0,34.29428713,0.6557733111401315,-1.106841062564148,0,40.90280188765,52.29594823,5.9706075915718335,Flexible,1
police_station,1.25,0,7.797825102,0.5865872121106078,-2.0392221269586313,0,10.753989778690002,13.29354773,1.4496520993898796,Critical,2
fitness_center,1.25,0,9.378362631,0.6493432723869765,-1.3273915940998007,0,11.50760895661,14.44284253,1.6040820264967846,Non_Critical,0
bus_station,1.25,0,8.061712033,0.6244451288300444,-1.5415467309802797,0,10.295153981005,12.91020085,1.4488308149036853,Non_Critical,0
fire_station,1.25,0,8.563477334,0.6245593113041694,-1.8688233344141019,0,11.53305245999,13.71123155,1.5890069448954423,Critical,2
movie_theater,1.25,0,24.24599004,0.6245593113832164,-1.8688240956024686,0,32.65382323,38.82095679,4.4989955667632815,Non_Critical,0
gas_station,1.25,0,20.31198853,0.7118957664341319,-0.3139367784950969,0,21.4100635575,28.53225077,3.4977574746960394,Non_Critical,0
hospital,1.5,0,435.9253795,0.628785977221744,-0.6363876220165385,0,492.1167140975,693.2810134,88.29733957278641,Critical,2
restaurant,1.5,0,4.80584409,0.22299600339777867,-1.4315755007886923,0,13.713785745955,21.5512566,6.222473225807428,Non_Critical,0
clinic,1.5,0,1.443736087,0.5650364428261522,-0.8798469610953638,0,1.7921347681499997,2.555120303,0.39597545562844416,Critical,2
hotel,1.5,0,18.17571641,0.5625645191577301,-1.0863982279905122,0,23.6966364281,32.3086789,5.081855611927589,Non_Critical,0
commercial_office,1.5,0,12.02047541,0.6381178935595687,-0.8853597404420603,0,14.165867766165,18.83738966,2.42318616129311,Flexible,1
k12_school,1.5,0,32.06297673,0.2949719160000037,-1.1344421302433187,0,63.45540451110001,108.6984048,27.672126951001655,Flexible,1
grocery,1.5,0,47.02268078,0.409935560278159,-0.9604784202383526,0,72.33214215150001,114.7074939,26.35088917952033,Non_Critical,0
fast_food,1.5,0,4.006118513,0.25985325122531777,-1.4229274664300917,0,9.506531862385,15.41684968,3.8655603017188422,Non_Critical,0
post_office,1.5,0,2.247958726,0.38569687941121344,-1.3824032310049477,0,3.82523809136,5.828304158,1.1409680964143554,Non_Critical,0
college,1.5,0,160.5197455,0.31419768711908064,-1.0525833308875052,0,279.87928409045,510.8877375,113.39675827587588,Flexible,1
shopping_mall,1.5,0,130.7137913,0.2900947383807382,-1.315160218054321,0,287.1067392425,450.5900108,118.9155089094097,Non_Critical,0
library,1.5,0,8.735272674,0.5635228494737852,-1.2538406817981302,0,11.466675971555,15.5011863,2.1784283149891257,Flexible,1
warehouse,1.5,0,34.75910269,0.6646614865290874,-1.0289904460196073,0,40.90280188765,52.29594823,5.9706075915718335,Flexible,1
police_station,1.5,0,7.919264643,0.5957224364665519,-1.9554506777401177,0,10.753989778690002,13.29354773,1.4496520993898796,Critical,2
fitness_center,1.5,0,9.588477849,0.6638913239608658,-1.196403849370104,0,11.50760895661,14.44284253,1.6040820264967846,Non_Critical,0
bus_station,1.5,0,8.307498168,0.643483262926928,-1.371902378563612,0,10.295153981005,12.91020085,1.4488308149036853,Non_Critical,0
fire_station,1.5,0,8.822671605,0.6434631034292466,-1.705706295363013,0,11.53305245999,13.71123155,1.5890069448954423,Critical,2
movie_theater,1.5,0,24.97985334,0.6434631035790089,-1.7057069895745431,0,32.65382323,38.82095679,4.4989955667632815,Non_Critical,0
gas_station,1.5,0,20.4397626,0.7163739995405908,-0.2774065060579456,0,21.4100635575,28.53225077,3.4977574746960394,Non_Critical,0
hospital,1.75,0,414.8283974,0.5983553413147604,-0.8753187377573248,0,492.1167140975,693.2810134,88.29733957278641,Critical,2
restaurant,1.75,0,4.748591294,0.22033941603200993,-1.440776470358409,0,13.713785745955,21.5512566,6.222473225807428,Non_Critical,0
clinic,1.75,0,1.343500872,0.5258072860297726,-1.1329812411144102,0,1.7921347681499997,2.555120303,0.39597545562844416,Critical,2
hotel,1.75,0,17.91681805,0.5545512431955242,-1.1373438527435484,0,23.6966364281,32.3086789,5.081855611927589,Non_Critical,0
commercial_office,1.75,0,10.79420068,0.5730199817929551,-1.391418351839461,0,14.165867766165,18.83738966,2.42318616129311,Flexible,1
k12_school,1.75,0,29.07618425,0.26749412103607983,-1.2423771790147264,0,63.45540451110001,108.6984048,27.672126951001655,Flexible,1
grocery,1.75,0,40.79367341,0.35563215639218143,-1.196865401003091,0,72.33214215150001,114.7074939,26.35088917952033,Non_Critical,0
fast_food,1.75,0,4.041759527,0.26216507333812183,-1.4137073270458962,0,9.506531862385,15.41684968,3.8655603017188422,Non_Critical,0
post_office,1.75,0,2.26543271,0.38869500434194737,-1.3670881939413546,0,3.82523809136,5.828304158,1.1409680964143554,Non_Critical,0
college,1.75,0,116.0904976,0.22723289106151232,-1.4443868372991027,0,279.87928409045,510.8877375,113.39675827587588,Flexible,1
shopping_mall,1.75,0,116.9494186,0.2595472953170048,-1.430909397538862,0,287.1067392425,450.5900108,118.9155089094097,Non_Critical,0
library,1.75,0,8.777162355,0.5662252027123885,-1.2346113771281242,0,11.466675971555,15.5011863,2.1784283149891257,Flexible,1
warehouse,1.75,0,34.77407799,0.6649478433216661,-1.0264822762459025,0,40.90280188765,52.29594823,5.9706075915718335,Flexible,1
police_station,1.75,0,7.958591248,0.598680759240784,-1.9283223909682328,0,10.753989778690002,13.29354773,1.4496520993898796,Critical,2
fitness_center,1.75,0,9.728502544,0.6735864165099361,-1.1091111764304715,0,11.50760895661,14.44284253,1.6040820264967846,Non_Critical,0
bus_station,1.75,0,8.442724386,0.6539576327350476,-1.278567723285498,0,10.295153981005,12.91020085,1.4488308149036853,Non_Critical,0
fire_station,1.75,0,8.961335757,0.6535762833791542,-1.6184416895154163,0,11.53305245999,13.71123155,1.5890069448954423,Critical,2
movie_theater,1.75,0,25.37245666,0.6535762834813944,-1.6184423486320731,0,32.65382323,38.82095679,4.4989955667632815,Non_Critical,0
gas_station,1.75,0,20.38559653,0.7144755839393598,-0.2928924438068944,0,21.4100635575,28.53225077,3.4977574746960394,Non_Critical,0
hospital,2.0,0,434.6314036,0.6269195249823353,-0.6510423770930333,0,492.1167140975,693.2810134,88.29733957278641,Critical,2
restaurant,2.0,0,4.727117111,0.2193429923246332,-1.444227538570301,0,13.713785745955,21.5512566,6.222473225807428,Non_Critical,0
clinic,2.0,0,1.4748068,0.5771966189883154,-0.8013808993930625,0,1.7921347681499997,2.555120303,0.39597545562844416,Critical,2
hotel,2.0,0,17.65886447,0.5465672095308113,-1.1881035651279077,0,23.6966364281,32.3086789,5.081855611927589,Non_Critical,0
commercial_office,2.0,0,12.42594547,0.6596426412724108,-0.7180305029498867,0,14.165867766165,18.83738966,2.42318616129311,Flexible,1
k12_school,2.0,0,32.5049363,0.29903784107786646,-1.1184708406199635,0,63.45540451110001,108.6984048,27.672126951001655,Flexible,1
grocery,2.0,0,47.17433545,0.4112576593393782,-0.9547232192198358,0,72.33214215150001,114.7074939,26.35088917952033,Non_Critical,0
fast_food,2.0,0,4.076307879,0.26440602091931403,-1.404769853467444,0,9.506531862385,15.41684968,3.8655603017188422,Non_Critical,0
post_office,2.0,0,2.356417783,0.40430590427672736,-1.2873445152686083,0,3.82523809136,5.828304158,1.1409680964143554,Non_Critical,0
college,2.0,0,166.290165,0.3254925745795572,-1.0016963431389265,0,279.87928409045,510.8877375,113.39675827587588,Flexible,1
shopping_mall,2.0,0,129.2275148,0.2867962265088012,-1.3276588105519038,0,287.1067392425,450.5900108,118.9155089094097,Non_Critical,0
library,2.0,0,8.875928231,0.5725967070662198,-1.1892732634145318,0,11.466675971555,15.5011863,2.1784283149891257,Flexible,1
warehouse,2.0,0,36.0267147,0.688900687708211,-0.8166817691806377,0,40.90280188765,52.29594823,5.9706075915718335,Flexible,1
police_station,2.0,0,8.051123886,0.6056414773184102,-1.864491507538988,0,10.753989778690002,13.29354773,1.4496520993898796,Critical,2
fitness_center,2.0,0,9.835915289,0.6810235082581074,-1.042149090786698,0,11.50760895661,14.44284253,1.6040820264967846,Non_Critical,0
bus_station,2.0,0,8.598948617,0.666058469338221,-1.1707400034680773,0,10.295153981005,12.91020085,1.4488308149036853,Non_Critical,0
fire_station,2.0,0,9.073269764,0.6617399561019011,-1.547998991378142,0,11.53305245999,13.71123155,1.5890069448954423,Critical,2
movie_theater,2.0,0,25.68937825,0.6617399563067287,-1.5479996209489082,0,32.65382323,38.82095679,4.4989955667632815,Non_Critical,0
gas_station,2.0,0,20.38447865,0.7144364044154936,-0.29321204277523066,0,21.4100635575,28.53225077,3.4977574746960394,Non_Critical,0
hospital,2.25,0,428.7546253,0.6184427627655553,-0.7175990622873692,0,492.1167140975,693.2810134,88.29733957278641,Critical,2
restaurant,2.25,0,4.124199437,0.1913670053466859,-1.5411210976467575,0,13.713785745955,21.5512566,6.222473225807428,Non_Critical,0
clinic,2.25,0,1.375785483,0.5384425466717447,-1.0514495981565932,0,1.7921347681499997,2.555120303,0.39597545562844416,Critical,2
hotel,2.25,0,17.44683277,0.5400045239856589,-1.2298268399448995,0,23.6966364281,32.3086789,5.081855611927589,Non_Critical,0
commercial_office,2.25,0,11.1271619,0.5906955316440591,-1.254012036174467,0,14.165867766165,18.83738966,2.42318616129311,Flexible,1
k12_school,2.25,0,27.85707259,0.2562785777882915,-1.2864327594947913,0,63.45540451110001,108.6984048,27.672126951001655,Flexible,1
grocery,2.25,0,45.02364751,0.3925083355866081,-1.0363404976247792,0,72.33214215150001,114.7074939,26.35088917952033,Non_Critical,0
fast_food,2.25,0,3.228161945,0.2093918026059394,-1.6241806628686213,0,9.506531862385,15.41684968,3.8655603017188422,Non_Critical,0
post_office,2.25,0,2.330591062,0.39987464600676387,-1.3099802913655805,0,3.82523809136,5.828304158,1.1409680964143554,Non_Critical,0
college,2.25,0,151.0927126,0.2957454280256629,-1.1357165082392984,0,279.87928409045,510.8877375,113.39675827587588,Flexible,1
shopping_mall,2.25,0,114.6352603,0.25441145509744173,-1.4503699229300657,0,287.1067392425,450.5900108,118.9155089094097,Non_Critical,0
library,2.25,0,8.85545393,0.5712758855107753,-1.1986719163150976,0,11.466675971555,15.5011863,2.1784283149891257,Flexible,1
warehouse,2.25,0,35.39811698,0.676880679633486,-0.9219637869781762,0,40.90280188765,52.29594823,5.9706075915718335,Flexible,1
police_station,2.25,0,8.0658937,0.6067525286569984,-1.8543029913993563,0,10.753989778690002,13.29354773,1.4496520993898796,Critical,2
fitness_center,2.25,0,9.734233389,0.6739832113228752,-1.1055385153491333,0,11.50760895661,14.44284253,1.6040820264967846,Non_Critical,0
bus_station,2.25,0,8.581601871,0.6647148228526591,-1.1827129224926038,0,10.295153981005,12.91020085,1.4488308149036853,Non_Critical,0
fire_station,2.25,0,9.09071479,0.6630122725919539,-1.5370204270128474,0,11.53305245999,13.71123155,1.5890069448954423,Critical,2
movie_theater,2.25,0,25.73877079,0.6630122727070479,-1.5370210528911126,0,32.65382323,38.82095679,4.4989955667632815,Non_Critical,0
gas_station,2.25,0,20.15125175,0.7062622543324857,-0.3598910035117252,0,21.4100635575,28.53225077,3.4977574746960394,Non_Critical,0
hospital,2.5,0,411.9538391,0.5942090308801178,-0.9078741723984213,0,492.1167140975,693.2810134,88.29733957278641,Critical,2
restaurant,2.5,0,4.01993776,0.18652915858279934,-1.557876759979207,0,13.713785745955,21.5512566,6.222473225807428,Non_Critical,0
clinic,2.5,0,1.361612537,0.532895666556801,-1.0872419938875628,0,1.7921347681499997,2.555120303,0.39597545562844416,Critical,2
hotel,2.5,0,17.15473932,0.5309638123272197,-1.287304543923093,0,23.6966364281,32.3086789,5.081855611927589,Non_Critical,0
commercial_office,2.5,0,11.16918291,0.592926255261208,-1.2366708209884412,0,14.165867766165,18.83738966,2.42318616129311,Flexible,1
k12_school,2.5,0,28.69752848,0.26401057616992735,-1.2560608310515518,0,63.45540451110001,108.6984048,27.672126951001655,Flexible,1
grocery,2.5,0,39.33203527,0.34288984906504,-1.2523336652644619,0,72.33214215150001,114.7074939,26.35088917952033,Non_Critical,0
fast_food,2.5,0,3.278271696,0.21264212624793524,-1.6112175387350787,0,9.506531862385,15.41684968,3.8655603017188422,Non_Critical,0
post_office,2.5,0,2.373236381,0.4071915803746219,-1.2726038899064889,0,3.82523809136,5.828304158,1.1409680964143554,Non_Critical,0
college,2.5,0,117.6729856,0.23033041696366807,-1.4304315178516562,0,279.87928409045,510.8877375,113.39675827587588,Flexible,1
shopping_mall,2.5,0,104.4225103,0.23174617234546113,-1.536252328074526,0,287.1067392425,450.5900108,118.9155089094097,Non_Critical,0
library,2.5,0,8.832555071,0.5697986528295579,-1.209183553687235,0,11.466675971555,15.5011863,2.1784283149891257,Flexible,1
warehouse,2.5,0,35.68919027,0.6824465657078688,-0.8732127617626091,0,40.90280188765,52.29594823,5.9706075915718335,Flexible,1
police_station,2.5,0,8.146910537,0.6128469767791627,-1.7984159401909687,0,10.753989778690002,13.29354773,1.4496520993898796,Critical,2
fitness_center,2.5,0,9.861682183,0.6828075680057974,-1.026085773879548,0,11.50760895661,14.44284253,1.6040820264967846,Non_Critical,0
bus_station,2.5,0,8.753818656,0.6780544127630671,-1.0638469621868878,0,10.295153981005,12.91020085,1.4488308149036853,Non_Critical,0
fire_station,2.5,0,9.121694136,0.6652716864080674,-1.517524397367735,0,11.53305245999,13.71123155,1.5890069448954423,Critical,2
movie_theater,2.5,0,25.8264834,0.665271686622951,-1.5175250144526784,0,32.65382323,38.82095679,4.4989955667632815,Non_Critical,0
gas_station,2.5,0,20.2983909,0.7114191958996301,-0.3178243053493292,0,21.4100635575,28.53225077,3.4977574746960394,Non_Critical,0
hospital,2.75,0,440.0878538,0.6347899989958098,-0.5892460629050417,0,492.1167140975,693.2810134,88.29733957278641,Critical,2
restaurant,2.75,0,4.269962841,0.19813057401952144,-1.517695785028273,0,13.713785745955,21.5512566,6.222473225807428,Non_Critical,0
clinic,2.75,0,1.498304794,0.5863930525074772,-0.7420390025050091,0,1.7921347681499997,2.555120303,0.39597545562844416,Critical,2
hotel,2.75,0,16.98713341,0.5257761687680768,-1.3202857794830682,0,23.6966364281,32.3086789,5.081855611927589,Non_Critical,0
commercial_office,2.75,0,12.63386931,0.6706804678371769,-0.6322245679724816,0,14.165867766165,18.83738966,2.42318616129311,Flexible,1
k12_school,2.75,0,33.00842801,0.30366984750819453,-1.1002759366757664,0,63.45540451110001,108.6984048,27.672126951001655,Flexible,1
grocery,2.75,0,48.35460832,0.4215470731332924,-0.9099325930983209,0,72.33214215150001,114.7074939,26.35088917952033,Non_Critical,0
fast_food,2.75,0,3.362148002,0.21808268691635838,-1.5895191877187065,0,9.506531862385,15.41684968,3.8655603017188422,Non_Critical,0
post_office,2.75,0,2.471235868,0.42400598887893526,-1.1867124426201634,0,3.82523809136,5.828304158,1.1409680964143554,Non_Critical,0
college,2.75,0,171.2363834,0.33517418961342754,-0.9580776504039196,0,279.87928409045,510.8877375,113.39675827587588,Flexible,1
shopping_mall,2.75,0,116.0241222,0.2574937735392868,-1.4386905221432547,0,287.1067392425,450.5900108,118.9155089094097,Non_Critical,0
library,2.75,0,8.983754961,0.57955273790884,-1.139775797851579,0,11.466675971555,15.5011863,2.1784283149891257,Flexible,1
warehouse,2.75,0,36.53295234,0.69858093363804,-0.7318934880136874,0,40.90280188765,52.29594823,5.9706075915718335,Flexible,1
police_station,2.75,0,8.29979931,0.6243479527492545,-1.6929501752680738,0,10.753989778690002,13.29354773,1.4496520993898796,Critical,2
